weight,threshold,trade_rate_mean,hold_fraction_mean,realized_exp_mean,realized_exp_std,realized_exp_cv_pct,dir_bar_exp_mean,hold_bar_exp_mean,breakeven_rt_mean,n_trades_mean,daily_pnl_mean,realized_fold1,realized_fold2,realized_fold3
0.25,0.65,0.0,0.0,0.0,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.7,0.0,0.0,0.0,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.75,0.0,0.0,0.0,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.8,0.0,0.0,0.0,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.85,0.0,0.0,0.0,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.9,0.0,0.0,0.0,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.5,0.0,0.0,0.0,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.55,0.0,0.0,0.0,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.6,0.0,0.0,0.0,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.65,0.0,0.0,0.0,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.7,0.0,0.0,0.0,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.75,0.0,0.0,0.0,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.8,0.0,0.0,0.0,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.85,0.0,0.0,0.0,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.9,0.0,0.0,0.0,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
